team,number,name,grade,total_minutes,appearances,total_shoot_1st,total_shoot_2nd,total_shoot,total_goals,goal_rate
朝鮮大学校,4,金 悠宇,4,1170,13,3,5,8,0,0.0
玉川大学,16,今村　光汰,4,1170,13,0,0,0,0,0.0
玉川大学,3,信賀　有希,4,1170,13,3,2,5,0,0.0
横浜国立大学（神奈川県）,7,立入　光記,4,1170,13,15,10,25,1,4.0
武蔵大学,19,加藤　大聖,4,1170,13,2,0,2,0,0.0
日本大学文理学部,93,小川 寧大,3,1170,13,3,1,4,1,25.0
日本大学文理学部,10,城田 優,4,1170,13,4,7,11,1,9.1
桜美林大学,90,三治　陽空,2,1170,13,0,0,0,0,0.0
桜美林大学,5,高井　翔麻,3,1170,13,15,28,43,3,7.0
学習院大学,3,中川　賢人,3,1170,13,1,2,3,0,0.0
学習院大学,5,小林　恭輔,4,1170,13,3,3,6,0,0.0
学習院大学,10,小林　千紘,4,1170,13,21,23,44,11,25.0
東京経済大学,12,中村　裕大,2,1170,13,0,0,0,0,0.0
東京経済大学,5,内田　雄真,2,1170,13,4,3,7,0,0.0
神奈川工科大学（神奈川県）,30,大久保　陸翔,1,1170,13,0,0,0,0,0.0
帝京大学,1,佐藤 翔,3,1170,13,0,0,0,0,0.0
帝京大学,3,船木 匡太朗,2,1170,13,1,1,2,0,0.0
上智大学,1,藤田　大輝,4,1170,13,0,0,0,0,0.0
上智大学,6,荒川　哲平,3,1170,13,1,4,5,0,0.0
朝鮮大学校,19,金 亨政,3,1167,13,7,7,14,1,7.1
横浜国立大学（神奈川県）,1,神山　洋輝,4,1163,13,0,0,0,0,0.0
上智大学,44,山崎　颯介,2,1163,13,4,0,4,1,25.0
桜美林大学,6,吉川　遥人,4,1161,13,1,9,10,1,10.0
日本大学文理学部,25,間 琥太朗,3,1158,13,6,1,7,1,14.3
学習院大学,11,渡辺　創士,3,1158,13,7,17,24,4,16.7
日本大学文理学部,2,横山 聡大,2,1149,13,5,6,11,1,9.1
上智大学,33,村田　幸基,1,1146,13,1,5,6,1,16.7
武蔵大学,33,宇野　大稀,2,1145,13,10,3,13,3,23.1
横浜国立大学（神奈川県）,10,原子　泰地,4,1142,13,13,18,31,10,32.3
横浜国立大学（神奈川県）,8,小宮　昂大,3,1141,13,5,5,10,1,10.0
日本大学文理学部,14,葛西 由晏,2,1140,13,10,11,21,3,14.3
横浜国立大学（神奈川県）,36,井上　愛翔,2,1109,13,7,8,15,0,0.0
帝京大学,14,藤田 晴,4,1109,13,18,29,47,4,8.5
朝鮮大学校,11,鄭 泰男,4,1085,13,11,3,14,1,7.1
朝鮮大学校,29,鄭 誓華,2,1082,13,3,2,5,0,0.0
神奈川工科大学（神奈川県）,7,小林　優介,3,1081,13,3,10,13,0,0.0
学習院大学,1,若尾　林太朗,3,1080,12,0,0,0,0,0.0
横浜国立大学（神奈川県）,13,竹中　暖喜,3,1077,12,11,3,14,2,14.3
東京経済大学,7,大塚　恭生,3,1077,12,13,10,23,2,8.7
上智大学,9,田中　佑樹,3,1077,13,7,12,19,2,10.5
武蔵大学,11,田辺　伊吹,4,1076,13,14,7,21,2,9.5
神奈川工科大学（神奈川県）,9,功刀　崇斗,4,1076,13,7,6,13,0,0.0
東京経済大学,10,伊崎　耕紀,4,1069,12,11,4,15,2,13.3
学習院大学,13,梶　圭朝,2,1068,12,4,1,5,1,20.0
東京経済大学,16,村松　晴登,3,1065,13,16,16,32,7,21.9
横浜国立大学（神奈川県）,5,大西　遼久,4,1063,12,5,2,7,1,14.3
桜美林大学,44,堀江　響希,3,1062,12,2,3,5,0,0.0
上智大学,3,松本　和輝,3,1062,12,4,2,6,0,0.0
玉川大学,23,國本　純成,3,1058,13,9,15,24,1,4.2
学習院大学,7,児島　巧海,2,1050,13,5,7,12,2,16.7
玉川大学,36,上野　湊,3,1048,13,6,2,8,1,12.5
上智大学,10,塙　　仁成,4,1045,12,7,10,17,3,17.6
桜美林大学,21,菊地　琉世,4,1033,13,13,14,27,8,29.6
桜美林大学,7,佐藤　天真,4,1008,13,3,2,5,1,20.0
上智大学,8,福島　広大,4,991,13,11,1,12,1,8.3
朝鮮大学校,1,金 柱相,4,990,11,0,0,0,0,0.0
日本大学文理学部,1,磯貝 仁斗,4,990,11,0,0,0,0,0.0
桜美林大学,22,高橋　陽翔,4,990,11,13,9,22,2,9.1
上智大学,97,須田　悠斗,2,962,12,0,2,2,0,0.0
玉川大学,14,林　雄琉,4,936,12,6,1,7,2,28.6
東京経済大学,17,吉儀　大,3,936,13,10,17,27,3,11.1
桜美林大学,25,大成　春斗,4,927,13,18,18,36,7,19.4
朝鮮大学校,2,沈 瑞輝,3,921,13,0,2,2,0,0.0
横浜国立大学（神奈川県）,26,加藤　士門,4,914,11,4,2,6,0,0.0
武蔵大学,22,水越　大心,3,897,11,6,3,9,1,11.1
神奈川工科大学（神奈川県）,4,吉田　太陽,3,896,10,2,1,3,1,33.3
日本大学文理学部,3,北村 翼,3,878,10,0,2,2,0,0.0
神奈川工科大学（神奈川県）,15,林　晃希,2,878,12,0,0,0,0,0.0
帝京大学,13,沢 柊斗,4,878,13,12,4,16,4,25.0
大東文化大学,5,池羽　　航輝,4,866,11,2,1,3,0,0.0
武蔵大学,47,廣井　悠真,2,847,12,18,7,25,3,12.0
日本大学文理学部,37,清水 佑,3,847,11,1,0,1,0,0.0
大東文化大学,29,佐藤　大心,2,838,10,6,9,15,4,26.7
玉川大学,10,内田　凜,4,837,10,3,2,5,0,0.0
神奈川工科大学（神奈川県）,10,小林　暢,4,837,10,4,4,8,0,0.0
東京経済大学,13,宮﨑　悠斗,3,834,10,7,6,13,1,7.7
神奈川工科大学（神奈川県）,13,齊藤　大翔,1,830,11,0,1,1,0,0.0
東京経済大学,6,松井　一晟,3,813,10,2,2,4,1,25.0
武蔵大学,31,湯浅　世琉亜,3,810,9,0,0,0,0,0.0
帝京大学,32,矢野　琉瑚,3,810,9,1,1,2,0,0.0
玉川大学,7,森岡　大地,4,805,9,4,1,5,0,0.0
神奈川工科大学（神奈川県）,29,常盤　啓太,1,803,11,0,0,0,0,0.0
